0,14440,14440,14440,14440,14440
1,14439.70752,14439.60564,14439.71255,14439.64867,14439.61171
2,14439.05206,14438.72471,14439.06817,14438.86128,14438.74158
3,14438.04337,14437.37455,14438.07673,14437.64996,14437.40279
4,14436.69141,14435.57231,14436.7478,14436.02656,14435.60879
5,14435.00603,14433.33524,14435.09123,14434.00321,14433.37267
6,14432.99718,14430.6805,14433.11659,14431.59176,14430.70789
7,14430.67472,14427.62543,14430.83356,14428.80433,14427.62761
8,14428.0485,14424.18709,14428.25199,14425.65288,14424.1451
9,14425.12839,14420.38273,14425.38154,14422.14943,14420.27374
10,14421.92424,14416.2296,14422.23179,14418.30583,14416.02678
11,14418.4461,14411.74504,14418.81269,14414.13431,14411.4175
12,14414.70372,14406.94601,14415.13371,14409.64672,14406.45916
13,14410.70697,14401.84987,14411.20463,14404.85509,14401.16493
14,14406.46579,14396.47386,14407.0352,14399.77136,14395.54829
15,14401.98995,14390.83513,14402.63508,14394.40767,14389.62239
16,14397.28949,14384.95103,14398.01405,14388.77586,14383.40061
17,14392.37428,14378.83852,14393.18176,14382.88806,14376.89611
18,14387.22231,14372.46908,14388.1167,14376.71803,14370.08037
19,14381.72357,14365.68566,14382.71093,14370.13392,14362.80734
20,14375.87955,14358.49196,14376.96539,14363.13849,14355.07902
21,14369.68999,14350.88845,14370.88018,14355.73098,14346.89862
22,14363.16228,14342.88357,14364.46249,14347.9201,14338.26964
23,14356.29707,14334.47893,14357.71281,14339.70804,14329.19836
24,14349.09417,14325.67188,14350.63104,14331.0948,14319.68523
25,14341.55284,14316.46032,14343.21642,14322.08038,14309.73093
26,14333.66851,14306.84626,14335.46402,14312.66042,14299.33251
27,14325.44233,14296.83244,14327.37565,14302.8369,14288.49187
28,14316.8816,14286.42615,14318.95802,14292.61732,14277.21564
29,14307.99266,14275.63423,14310.2175,14282.00983,14265.51217
30,14298.77438,14264.456,14301.15294,14271.01404,14253.38259
31,14289.22751,14252.89336,14291.76501,14259.63167,14240.82937
32,14279.35509,14240.95153,14282.05684,14247.86688,14227.85677
33,14269.16214,14228.63648,14272.03316,14235.72536,14214.47076
34,14258.65407,14215.95541,14261.69938,14223.21393,14200.67845
35,14247.83399,14202.91305,14251.05871,14210.33734,14186.48534
36,14236.70609,14189.51264,14240.11486,14197.10079,14171.89711
37,14225.27263,14175.75776,14228.87029,14183.50789,14156.91859
38,14213.53523,14161.65222,14217.32652,14169.56166,14141.55397
39,14201.49683,14147.19999,14205.48629,14155.26629,14125.80816
40,14189.16074,14132.40686,14193.35292,14140.62631,14109.68656
41,14176.53037,14117.27728,14180.92972,14125.64676,14093.19497
42,14163.61283,14101.81863,14168.22354,14110.33587,14076.34171
43,14150.41533,14086.04013,14155.24174,14094.70303,14059.13684
44,14136.93805,14069.94033,14141.98425,14078.74995,14041.58377
45,14123.17976,14053.51935,14128.44982,14062.47681,14023.68524
46,14109.13782,14036.78162,14114.63562,14045.88257,14005.44192
47,14094.81534,14019.73104,14100.54467,14028.97141,13986.85912
48,14080.21725,14002.37264,14086.18182,14011.74995,13967.94385
49,14065.34839,13984.71474,14071.55207,13994.22427,13948.70293
50,14050.21417,13966.7639,14056.66038,13976.40175,13929.14461
51,14034.81874,13948.52532,14041.51098,13958.28808,13909.27533
52,14019.16571,13930.00488,14026.1075,13939.88886,13889.10201
53,14003.26011,13911.20817,14010.45448,13921.21034,13868.63186
54,13987.10819,13892.14495,13994.55816,13902.26085,13847.87398
55,13970.72047,13872.8284,13978.42937,13883.05329,13826.84115
56,13954.10188,13853.26402,13962.07245,13863.59448,13805.54162
57,13937.25526,13833.45615,13945.49015,13843.88917,13783.98222
58,13920.18326,13813.41097,13928.68514,13823.94217,13762.1693
59,13902.8912,13793.13587,13911.66233,13803.76052,13740.11129
60,13885.38475,13772.63785,13894.4277,13783.35254,13717.81729
61,13867.66914,13751.92375,13876.98599,13762.72497,13695.29583
62,13849.74787,13730.99992,13859.34079,13741.88377,13672.5545
63,13831.62501,13709.87231,13841.49591,13720.83493,13649.60086
64,13813.30407,13688.54729,13823.45465,13699.58411,13626.44242
65,13794.78922,13667.03272,13805.22109,13678.13769,13603.08704
66,13776.08814,13645.33637,13786.80301,13656.5055,13579.54542
67,13757.20708,13623.46602,13768.20608,13634.6959,13555.82734
68,13738.15049,13601.42952,13749.43525,13612.71579,13531.9414
69,13718.92436,13579.23437,13730.49562,13590.57305,13507.8972
70,13699.53256,13556.8836,13711.39136,13568.27441,13483.70315
71,13679.97642,13534.38584,13692.12372,13545.82337,13459.36542
72,13660.26304,13511.75425,13672.69931,13523.22941,13434.89482
73,13640.40343,13488.9969,13653.12924,13500.50579,13410.30509
74,13620.40678,13466.12534,13633.42241,13477.66419,13385.60893
75,13600.28246,13443.15142,13613.5882,13454.7169,13360.8196
76,13580.03446,13420.07894,13593.63011,13431.6702,13335.9463
77,13559.6642,13396.91292,13573.54968,13408.52844,13310.99604
78,13539.17529,13373.66321,13553.3503,13385.29788,13285.97802
79,13518.57321,13350.33797,13533.0371,13361.98666,13260.9021
80,13497.86394,13326.946,13512.61613,13338.60332,13235.77897
81,13477.0545,13303.49698,13492.09395,13315.15761,13210.62031
82,13456.15161,13280.00076,13471.47747,13291.65883,13185.437
83,13435.16332,13256.46758,13450.77436,13268.11798,13160.24194
84,13414.09571,13232.90549,13429.99051,13244.54357,13135.04593
85,13392.9536,13209.32236,13409.13045,13220.94329,13109.85912
86,13371.74317,13185.72976,13388.20064,13197.32632,13084.69297
87,13350.47406,13162.13943,13367.21008,13173.705,13059.56141
